index	filename	word	translation	context	repetition	position	stop	poa	voice	geminate	affric	glott	pharlzd	labialzd	palatlzd	folVowel	prevVowel	totdur	folVowDur	prevVowDur	fric	postfric	closdur	tstart	tend	reltime	pfst	cvst	modst	comment
1	1959_m_Murtuzov_OM	babatɬi padan	мамы носок, бабалIи падан	iso	1	initial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a		0.05944859492817134	0.11344256581194978	--undefined--	0.0059000861651603564	0	0.05354850876301098	3.021793730018868	3.0812423249470395	3.075342238781879	--undefined--	--undefined--	3.0812423249470395	
2	1959_m_Murtuzov_OM	babatɬi padan	мамы носок, бабалIи падан	iso	1	medial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a	a	0.039144369569832804	0.09464935581263889	0.11344256581194978	0	0	0.039144369569832804	3.1946848907589893	3.233829260328822	3.075342238781879	--undefined--	--undefined--	3.233829260328822	
3	1959_m_Murtuzov_OM	babatɬi padan	мамы носок, бабалIи падан	iso	1	medial	tɬ	dental	voiceless	singleton	affricate	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	i	a	0.15901240785681958	0.036664144817082356	0.09464935581263889	0.06807383971441583	0	0.09093856814240375	3.328478616141461	3.4874910239982806	3.4194171842838648	--undefined--	--undefined--	3.4874910239982806	
4	1959_m_Murtuzov_OM	babatɬi padan	мамы носок, бабалIи падан	iso	1	initial	p	bilabial	voiceless	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a		0.021336576626906467	0.11074699296822921	--undefined--	0.021336576626906467	0	0	3.5955616107951807	3.616898187422087	3.5955616107951807	--undefined--	--undefined--	3.616898187422087	
5	1959_m_Murtuzov_OM	babatɬi padan	мамы носок, бабалIи падан	iso	1	medial	d	dental	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a	a	0.08397505024848773	0.17346912156031813	0.11074699296822921	0.024512169426662123	0	0.0594628808218256	3.7276451803903163	3.811620230638804	3.787108061212142	--undefined--	--undefined--	3.811620230638804	
6	1959_m_Murtuzov_OM	babatɬi padan	мамы носок, бабалIи падан	iso	2	initial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a		0.0932509328182407	0.10814927843494093	--undefined--	0.008440919292483251	0	0.08481001352575745	5.119388482064856	5.212639414883097	5.204198495590614	--undefined--	--undefined--	5.212639414883097	
7	1959_m_Murtuzov_OM	babatɬi padan	мамы носок, бабалIи падан	iso	2	medial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a	a	0.060293074055578266	0.09627923567988628	0.10814927843494093	0.0036929021904610337	0	0.05660017186511723	5.320788693318038	5.381081767373616	5.377388865183155	--undefined--	--undefined--	5.381081767373616	
8	1959_m_Murtuzov_OM	babatɬi padan	мамы носок, бабалIи падан	iso	2	medial	tɬ	dental	voiceless	singleton	affricate	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	i	a	0.15040594722290468	0.0303345537073616	0.09627923567988628	0.06277933723784379	0	0.08762660998506089	5.4773610030535025	5.627766950276407	5.564987613038563	--undefined--	--undefined--	5.627766950276407	
9	1959_m_Murtuzov_OM	babatɬi padan	мамы носок, бабалIи падан	iso	2	initial	p	bilabial	voiceless	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a		0.033690553301577	0.09239567862989073	--undefined--	0.033690553301577	0	0	5.733581487172498	5.767272040474075	5.733581487172498	--undefined--	--undefined--	5.767272040474075	
10	1959_m_Murtuzov_OM	babatɬi padan	мамы носок, бабалIи падан	iso	2	medial	d	dental	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a	a	0.10685813744982031	0.19675405732499307	0.09239567862989073	0.024256128608057814	0	0.0826020088417625	5.859667719103966	5.966525856553786	5.942269727945728	--undefined--	--undefined--	5.966525856553786	
